type,implementation,threads,filter,times,mean_time_ms,std_time_ms,min_time_ms,max_time_ms,median_time_ms,iterations
sequential,baseline,1,blur,"[195.5571174621582, 189.64409828186035, 192.0912265777588, 189.9709701538086, 191.741943359375, 199.2342472076416, 189.80908393859863, 198.23575019836426, 204.08177375793457, 191.37907028198242, 190.98520278930664, 191.3011074066162, 189.74995613098145, 190.40989875793457, 190.53387641906738, 190.21010398864746, 190.2940273284912, 191.70880317687988, 189.81099128723145, 189.42904472351074, 190.903902053833, 190.3531551361084, 190.19317626953125, 189.4369125366211, 189.01586532592773, 191.41125679016113, 189.41211700439453, 189.78404998779297, 189.71920013427734, 189.1791820526123, 190.47808647155762, 191.02096557617188, 199.16605949401855, 208.9672088623047, 191.94698333740234, 189.985990524292, 189.30602073669434, 190.05703926086426, 190.63496589660645, 190.34504890441895, 189.87274169921875, 193.35699081420898, 190.05894660949707, 192.36493110656738, 243.97802352905273, 195.15371322631836, 190.93775749206543, 190.14811515808105, 196.84195518493652, 190.1230812072754]",193.00663471221924,8.25395579550821,189.01586532592773,243.97802352905273,190.4439926147461,50
opencv_native,opencv_baseline,1,blur,"[1450.894832611084, 196.87795639038086, 194.94986534118652, 194.61297988891602, 194.02289390563965, 198.89473915100098, 217.39888191223145, 195.5881118774414, 195.35207748413086, 196.29192352294922, 197.29876518249512, 196.78115844726562, 193.65882873535156, 207.79013633728027, 199.16701316833496, 195.43981552124023, 193.74489784240723, 193.7088966369629, 194.42987442016602, 193.4809684753418, 196.28477096557617, 196.5320110321045, 195.7838535308838, 193.79210472106934, 193.0408477783203, 194.78511810302734, 194.40603256225586, 195.4820156097412, 194.51427459716797, 194.10085678100586, 194.87690925598145, 193.75181198120117, 193.92895698547363, 196.42972946166992, 216.59612655639648, 194.1816806793213, 193.8631534576416, 202.02326774597168, 198.07696342468262, 193.96185874938965, 197.77393341064453, 196.3331699371338, 194.37718391418457, 194.38719749450684, 194.976806640625, 193.81093978881836, 194.78797912597656, 195.37734985351562, 194.35906410217285, 194.33021545410156]",221.54621601104736,175.68807306463086,193.0408477783203,1450.894832611084,194.91338729858398,50
parallel_original,original_openmp,2,blur,"[201.90095901489258, 199.4309425354004, 197.4020004272461, 198.73595237731934, 196.9127655029297, 198.72307777404785, 198.746919631958, 197.829008102417, 196.90704345703125, 196.89083099365234, 198.7740993499756, 199.47075843811035, 197.800874710083, 201.22408866882324, 222.84793853759766, 207.26561546325684, 213.82904052734375, 202.286958694458, 198.91810417175293, 197.7553367614746, 197.50499725341797, 199.3720531463623, 200.1492977142334, 201.54809951782227, 197.62516021728516, 199.2340087890625, 198.41313362121582, 196.91872596740723, 198.95219802856445, 197.10731506347656, 198.0750560760498, 198.06694984436035, 198.13776016235352, 197.62778282165527, 196.39277458190918, 197.4010467529297, 197.1120834350586, 199.00798797607422, 198.11511039733887, 197.02982902526855, 197.0670223236084, 197.98898696899414, 197.19314575195312, 197.45111465454102, 197.0381736755371, 196.93589210510254, 197.26014137268066, 197.04699516296387, 196.60711288452148, 197.22700119018555]",199.18518543243408,4.419820046363473,196.39277458190918,222.84793853759766,197.90899753570557,50
parallel_original,original_openmp,4,blur,"[200.1340389251709, 214.86806869506836, 196.49291038513184, 196.1963176727295, 195.89710235595703, 197.21198081970215, 197.58081436157227, 197.07202911376953, 198.17805290222168, 198.58384132385254, 198.6401081085205, 197.9968547821045, 195.24407386779785, 196.32315635681152, 197.16882705688477, 196.32411003112793, 198.36068153381348, 199.33509826660156, 196.6242790222168, 197.42488861083984, 196.40398025512695, 196.60091400146484, 197.6339817047119, 195.9540843963623, 197.95799255371094, 195.9817409515381, 195.94502449035645, 196.30980491638184, 196.10285758972168, 196.03204727172852, 195.19901275634766, 197.10612297058105, 196.9921588897705, 195.98984718322754, 197.17001914978027, 196.57397270202637, 197.45421409606934, 227.16212272644043, 197.51477241516113, 196.19417190551758, 197.36409187316895, 195.70302963256836, 197.71289825439453, 196.50006294250488, 194.63396072387695, 198.7011432647705, 196.4881420135498, 196.33913040161133, 195.692777633667, 197.24416732788086]",197.88630962371826,4.995479031807752,194.63396072387695,227.16212272644043,196.80821895599365,50
parallel_original,original_openmp,8,blur,"[195.1310634613037, 195.88088989257812, 198.09412956237793, 196.13003730773926, 196.4869499206543, 198.10914993286133, 197.07226753234863, 203.44018936157227, 196.7470645904541, 197.71504402160645, 198.76503944396973, 195.85394859313965, 200.06489753723145, 198.03166389465332, 197.02696800231934, 196.78807258605957, 195.8169937133789, 202.71706581115723, 200.62708854675293, 196.56705856323242, 195.8789825439453, 196.3062286376953, 196.53820991516113, 198.33087921142578, 224.33829307556152, 201.0791301727295, 199.4168758392334, 197.2789764404297, 199.4309425354004, 198.61817359924316, 195.85490226745605, 196.57397270202637, 202.3921012878418, 211.89212799072266, 197.3559856414795, 198.0729103088379, 197.36599922180176, 196.75207138061523, 197.94607162475586, 198.16899299621582, 196.71201705932617, 197.2219944000244, 197.1299648284912, 203.1381130218506, 196.22564315795898, 196.2730884552002, 195.76406478881836, 197.59488105773926, 197.9379653930664, 196.5041160583496]",198.62318515777588,4.606739273201716,195.1310634613037,224.33829307556152,197.3174810409546,50
parallel_original,original_openmp,16,blur,"[197.7677345275879, 196.90394401550293, 195.7709789276123, 202.84676551818848, 217.573881149292, 197.2360610961914, 195.88184356689453, 196.07186317443848, 203.91392707824707, 198.2409954071045, 196.53606414794922, 198.2290744781494, 197.55101203918457, 198.17709922790527, 197.30401039123535, 196.78997993469238, 196.49887084960938, 197.05700874328613, 197.05486297607422, 197.11899757385254, 197.65901565551758, 195.9230899810791, 196.28524780273438, 197.7527141571045, 196.46120071411133, 193.41397285461426, 191.7870044708252, 192.45505332946777, 193.14098358154297, 192.6429271697998, 191.27702713012695, 194.17691230773926, 214.90883827209473, 192.17205047607422, 193.37821006774902, 191.96009635925293, 192.99578666687012, 192.28219985961914, 191.89691543579102, 193.32408905029297, 192.08908081054688, 191.07794761657715, 193.08996200561523, 192.40212440490723, 192.9919719696045, 192.02613830566406, 192.13175773620605, 194.55218315124512, 192.4300193786621, 192.32892990112305]",195.91076850891113,5.0260440419086265,191.07794761657715,217.573881149292,195.82641124725342,50
parallel_optimized,optimized_openmp,2,blur,"[198.92191886901855, 198.7919807434082, 194.2160129547119, 194.85998153686523, 194.95606422424316, 199.3861198425293, 195.23978233337402, 195.46794891357422, 196.4421272277832, 198.44985008239746, 194.75317001342773, 194.75579261779785, 194.21911239624023, 193.98188591003418, 195.56117057800293, 221.08006477355957, 194.52404975891113, 195.58405876159668, 194.80133056640625, 195.50085067749023, 195.5859661102295, 194.37694549560547, 194.00596618652344, 194.80299949645996, 201.246976852417, 197.14903831481934, 194.62823867797852, 194.9632167816162, 198.84514808654785, 195.99485397338867, 195.99223136901855, 194.75722312927246, 195.14703750610352, 194.71311569213867, 195.31607627868652, 196.03681564331055, 197.2789764404297, 193.98117065429688, 194.88835334777832, 199.8441219329834, 196.0771083831787, 211.56907081604004, 196.83599472045898, 207.02576637268066, 194.40984725952148, 199.1739273071289, 206.92014694213867, 193.73798370361328, 195.3599452972412, 194.4282054901123]",197.13171482086182,4.896392312287763,193.73798370361328,221.08006477355957,195.41394710540771,50
parallel_optimized,optimized_openmp,4,blur,"[200.58417320251465, 203.13525199890137, 205.7812213897705, 194.96703147888184, 194.11897659301758, 197.7992057800293, 198.469877243042, 194.1380500793457, 193.92895698547363, 195.8320140838623, 197.97015190124512, 194.08392906188965, 193.2961940765381, 192.43621826171875, 198.07839393615723, 193.4058666229248, 194.56100463867188, 194.78106498718262, 195.69683074951172, 198.82512092590332, 200.5929946899414, 202.39520072937012, 192.88301467895508, 193.33982467651367, 194.044828414917, 196.98500633239746, 209.9299430847168, 193.84217262268066, 193.51911544799805, 193.62998008728027, 196.95687294006348, 194.66090202331543, 193.88079643249512, 195.58191299438477, 193.43805313110352, 194.66805458068848, 194.5171356201172, 195.80388069152832, 192.71087646484375, 193.13573837280273, 194.4448947906494, 193.53008270263672, 194.13495063781738, 191.8487548828125, 193.5570240020752, 193.9389705657959, 202.19969749450684, 200.4690170288086, 198.42195510864258, 194.13399696350098]",196.10170364379883,3.680424597438785,191.8487548828125,209.9299430847168,194.53907012939453,50
parallel_optimized,optimized_openmp,8,blur,"[194.2758560180664, 196.42901420593262, 198.66704940795898, 201.5080451965332, 209.8069190979004, 193.8941478729248, 193.9702033996582, 196.7630386352539, 193.2830810546875, 194.5211887359619, 193.43900680541992, 194.21696662902832, 194.8840618133545, 193.0079460144043, 194.1978931427002, 196.49791717529297, 194.04292106628418, 194.87404823303223, 193.93181800842285, 194.0760612487793, 194.03624534606934, 193.77827644348145, 199.51725006103516, 194.40007209777832, 193.8619613647461, 194.17715072631836, 194.39268112182617, 195.96481323242188, 194.02813911437988, 192.23499298095703, 194.08893585205078, 193.48788261413574, 192.95883178710938, 195.3747272491455, 194.22006607055664, 194.3502426147461, 193.40968132019043, 196.57397270202637, 218.40405464172363, 192.98386573791504, 197.8919506072998, 195.0390338897705, 195.31893730163574, 197.6151466369629, 192.66605377197266, 193.40085983276367, 193.50194931030273, 193.97997856140137, 194.40412521362305, 197.57413864135742]",195.598464012146,4.277893765691693,192.23499298095703,218.40405464172363,194.21851634979248,50
parallel_optimized,optimized_openmp,16,blur,"[194.83399391174316, 194.55313682556152, 194.31781768798828, 195.33109664916992, 192.74401664733887, 194.4887638092041, 195.91379165649414, 194.28086280822754, 194.59795951843262, 193.72200965881348, 194.8859691619873, 196.27618789672852, 194.95391845703125, 195.36995887756348, 195.0819492340088, 199.0349292755127, 199.10883903503418, 195.02902030944824, 193.93301010131836, 195.4338550567627, 196.2268352508545, 204.56314086914062, 194.8068141937256, 194.70500946044922, 214.88118171691895, 193.44615936279297, 193.65406036376953, 196.8088150024414, 194.89002227783203, 196.38991355895996, 196.4118480682373, 196.26879692077637, 195.35207748413086, 194.82922554016113, 195.60503959655762, 193.11213493347168, 194.6580410003662, 194.25630569458008, 193.89724731445312, 194.6859359741211, 195.00207901000977, 194.76604461669922, 194.8859691619873, 199.2347240447998, 202.16917991638184, 193.28999519348145, 194.27919387817383, 194.06604766845703, 194.09823417663574, 195.25933265686035]",195.8078098297119,3.4496432633664513,192.74401664733887,214.88118171691895,194.8859691619873,50
